# links,loaded,percentage,maximum
120,16,100,120
545,49,46.34,1176
1182,111,19.36,6105
1640,152,14.29,11476
2121,186,12.33,17205
2458,212,10.99,22366
2642,225,10.48,25200
2842,237,10.16,27966
2974,244,10.03,29646
3056,246,10.14,30135
3107,248,10.14,30628
3164,249,10.25,30876
3227,251,10.29,31375
3297,253,10.34,31878
3376,254,10.51,32131
3414,256,10.46,32640
3433,256,10.52,32640
3454,256,10.58,32640
3480,256,10.66,32640
3532,256,10.82,32640
3546,256,10.86,32640
3562,256,10.91,32640
3559,256,10.9,32640
3566,256,10.93,32640
3574,256,10.95,32640
3574,256,10.95,32640
3582,256,10.97,32640
3598,256,11.02,32640
3597,256,11.02,32640
3595,256,11.01,32640
3603,256,11.04,32640
3604,256,11.04,32640
3608,256,11.05,32640
3601,256,11.03,32640
3606,256,11.05,32640
3601,256,11.03,32640
3606,256,11.05,32640
3604,256,11.04,32640
3605,256,11.04,32640
3602,256,11.04,32640
3604,256,11.04,32640
3608,256,11.05,32640
3609,256,11.06,32640
3610,256,11.06,32640
3611,256,11.06,32640
3613,256,11.07,32640
3619,256,11.09,32640
3620,256,11.09,32640
3614,256,11.07,32640
3613,256,11.07,32640
3609,256,11.06,32640
3611,256,11.06,32640
3614,256,11.07,32640
3608,256,11.05,32640
3606,256,11.05,32640
3607,256,11.05,32640
3607,256,11.05,32640
3609,256,11.06,32640
3608,256,11.05,32640
3609,256,11.06,32640
3609,256,11.06,32640
